n,greedy_avg_contribution,greedy_avg_time,aco_avg_contribution,aco_avg_time
10,3.36872911603538,5.53131103515625e-06,3.5045831179906353,0.013832306861877442
20,5.105835231205238,8.614857991536458e-06,5.880455625161847,0.04131113688151042
30,5.401412949494857,8.400281270345052e-06,6.137427951368937,0.05748716195424398
40,5.7072865220664335,9.481112162272135e-06,6.4741610545863155,0.07471086978912353
50,5.784258745902869,1.0458628336588542e-05,6.552438854818681,0.09247280756632487
60,5.927922706604298,1.3359387715657552e-05,6.485350059981495,0.10812757809956869
70,5.926550975988342,1.4710426330566407e-05,6.4707224704203385,0.12351907889048258
80,5.702052913367203,1.725355784098307e-05,6.415372562944223,0.14120692412058514
90,5.928852991538006,1.9240379333496094e-05,6.307711099704734,0.1567914088567098
100,6.144679356634563,2.0917256673177084e-05,6.448311435213096,0.17627140680948894
